text,id
"@2GB873 Watched the first 20 minutes, as an Australian I felt sick and hurt, and discriminated,why am I so different. This is my Country. I do not look like a stone aged person!",981750015625281537
@IndianaRose16 So sorry to hear Indiana you are still sick take care 😘😘😘,981747338946293760
Been asked to go watch the new Tomb Raider. I'm sick.,981735428620337153
@AlisonCostelloe @RACTOfficial You bet 👍 sick of people not thinking &amp; not taking responsibility for their own stupidity. It’s getting more prevalent in today’s society!,981730815888392192
Sick. Gotta go the doctors #idonthavetimeforthis,981721908562485248
This just in: being sick sucks,981717774610317312
When you are sick but still trying to study and they are freaking trimming trees outside :'D,981712593906688001
It has to be said @PeterDutton_MP is a NAZI to keep innocent people in concentration camps indefinitely refuse to allow adequate medical treatment for a sick child ! Certainly not decent #auspol,981707462653837312
@benshapiro Helping the sick and injured is the same as joining Hamas? Are the health workers helping maimed children from Assad's bombings working for ISIS as well Norman Bates.,981698302524538881
@EffingHardy Yeah not impressed - she’s a lovely person and I like her but aaargh you’re sick! Stay home please,981688337516789760
@Activision @SHGames And everyone has received intel on MW2 but no-one will confirm anything.. kind getting sick of everything being so secretive as the whole #COD community is. Just tell us already.  @PrestigeIsKey @NeroTweets,981685410291056640
Bf remembered that I mentioned yesterday how I wanted white bread to make Nutella and marshmallow fluff sandwiches bc I’m sick at home and he bought some on the way back from the gym this morning without me asking 😍,981677900356177920
@Wal13freo Makes you wonder how they even found out unless their Membership Officer tried to call in sick?,981676647756611584
These lifts make me sick. I rather take the stairs.,981669609093840897
"Actually, screw it. I'm happy to take toll roads. I'll be so sick of driving by tonight, paying a few dollars for a shortcut won't bother me at all.",981667961629888512
"#Emmerdale The reason I don't mind Laurel and Bob (some of their writing could be better, yes) is because Laurel had well and truly broken up with Ashley long before he was ill. She stated clearly that she didn't ""love him anymore.."" and went to be with Marlon. (1)",981742896549281795
"@wnhynd @LennaLeprena @daveyk317 @randlight @abcnews I just got up the chemist here he only has generic crap it cost me bus and food wasted day travelling to Rocky, travel sickness, buses make me ill going down the range to get proper shit #RegionalTownsSuck 🤮    #qldpol",981721911456546816
@ladyhamiltonnz @BonniBK @InlawsOutlaws Lol 😂 too much equality - love it !!! But most dudes won’t - especially the numpty senator. Wow where in the hell do ppl like him come from? He’s mentally ill.,981700642174480384
I’m so Ill 🤢😢,981694635985715201
"Victoria Police, gutless one day, bullies the next. Pity they don't take on the Sudanese gangs with the same vigour as they do disability pensioners.  https://t.co/E7F9Qp3ceD",981684512076718080
Me too. But ill continue my nap later😝 https://t.co/LDeg2ufvQW,981682060963139584
"@unionsaustralia When Scott Morrison posts an ill considered thought bubble, he reveals what twat he is. How unenlightening.",981676645323960321
Just hearing the words commonwealth make me feel ill,981668487662727169
@33ccd @UBET @fatzgorrie @Kidcowboy2 @spartytalkback @monkdawilly Can I be the reserve if any of them become ill ? 😂,981667686714261505
1 rt and ill say skinny legend instead of skinny latte and see if anyone notices today at work,981656209932525568
@MurderSmall @Jimmypisfunny @WhismanSucks #032 Broken Bones &amp; Brutal Murder ep needs a warning added to the description. I'm feeling physically ill. I was totally unprepared for what I'm listening to on my way to work!,981653496029093888
50% of all police 👮‍♀️ 🚓 killings are mentally ill 🤒 people. Check tha statistics... God😇🙏❤️,981524780250578944
@eriantoinette But ill take it!,981506244035862530
